가상 환자 개발을 위한 항목 ,,,,,,,,,,,,,,
주호소,환자표현,"""숨 쉬는 게 너무 힘들어요. 특히 밤에 자려고 누우면 양쪽 코가 번갈아 막혀서 잠을 잘 못 자요.""",,,,,,,,,,,,
,,"""코가 꽉 막혀서 머리가 띵하고 집중이 안 돼요. 입으로만 숨 쉬게 되요.""",,,,,,,,,,,,
,,"""한쪽 코는 괜찮다가 다른 쪽 코가 막히는 식으로 코 막힘이 왔다 갔다해요.""",,,,,,,,,,,,
,,"""맑고 묽은 물 같은 콧물이 줄줄 흘러서 하루 종일 휴지를 달고 살아요.""",,,,,,,,,,,,
,,"""차가운 공기나 먼지에 노출되면 갑자기 콧물이 폭포수처럼 쏟아져요.""",,,,,,,,,,,,
,,"""콧물이 뒤로 넘어가서 목이 간질간질하고 기침이 나요."" (후비루)",,,,,,,,,,,,
,,"""아침에 자고 일어나면 재채기를 열 번 이상 연속으로 해요.""",,,,,,,,,,,,
,,"""햇빛을 보거나 갑자기 온도 변화가 있을 때 재채기가 시작되면 멈추기 힘들어요.""",,,,,,,,,,,,
,,"""코 속이 너무 가려워서 자꾸 코를 비비게 되요.""",,,,,,,,,,,,
,,"""가려움을 참을 수 없어서 코를 긁다 보니 콧등에 빨갛게 선이 생겼어요.""",,,,,,,,,,,,
임상정보 대분류,임상정보 중분류,임상정보 소분류,인구학적 정보-1. 필수,알러지비염주증 -1.필수. 2비필수,처방 선택시 중요도(1. 매우중요. 2. 중요. 3. 약간 참고. 4. 의미없음). ,유사표현(정성 표현),범주 번호,항목 범주 설명(정량 표현),수체형,,,,,
,,,,,,,,,,,,,,
,,,2. 비필수,,,,,,알레르기 비염 환자 생성 규칙 및 비율,월비가반하탕 생성 규칙 및 비율,사간마황탕,소청룡탕,영강감미신하인탕생성 규칙 및 비율,마황부자세신탕생성 규칙 및 비율
,,,,,,,,,,,생성 규칙 및 비율,생성 규칙 및 비율,,
알러지비염가상환자,O/S,알러지비염 발현시점,,1,4,,1,1주일 이내,17%,3%,3%,3%,3%,3%
,,,,,,,2,1주-1개월 이내,17%,3%,3%,3%,3%,3%
,,,,,,,3,1개월 이상-3개월 이내,17%,3%,3%,3%,3%,3%
,,,,,,,4,3개월 이상-6개월 이내,17%,3%,3%,3%,3%,3%
,,,,,,,5,6개월 이상-1년 이내,17%,3%,3%,3%,3%,3%
,,,,,,,6,1년 이상 ,17%,3%,3%,3%,3%,3%
,경과,,,1,,,,AI 자동생성,,,,,,
,경과 2 과거 경험,평소 감기걸렸을 때 문제되는 부위,,1,2,,1,모름,10%,2%,2%,2%,2%,2%
,,,,,,,2,"머리부위 증상(두통, 두중 등)",35%,7%,7%,7%,7%,7%
,,,,,,,3,"코부위 증상(콧물, 코막힘 등)",10%,2%,2%,2%,2%,2%
,,,,,,,4,기침,10%,2%,2%,2%,2%,2%
,,,,,,,5,인후통,10%,2%,2%,2%,2%,2%
,,,,,,,6,열감기,10%,2%,2%,2%,2%,2%
,,,,,,,7,"몸살(신체통, 피로, 골절통, 등)",15%,7%,2%,2%,2%,2%
,,과거 알러지비염 경험,,1,4,,1,과거에 알러지 없었음,30%,6%,6%,6%,6%,6%
,,,,,,,2,과거에도 알러지 증상 있었음,70%,14%,14%,14%,14%,14%
,알러지비염 주증 및 동반증상,콧물 량,,1,4,콧물이 없음,1,없음,0%,0%,0%,0%,0%,0%
,,,,,,콧물 조금 흐름,2,"경미, 콧물이 약간 흐르지만, 휴지가 거의 필요 없거나 가끔 한두 번 닦아내는 정도.",20%,4%,4%,4%,4%,4%
,,,,,,콧물이 줄줄 흘러 자꾸 풀어야 함,3,"중등도, 콧물이 계속 흘러 휴지를 자주 사용하게 되며, 코를 푸는 횟수가 늘어남.",40%,8%,8%,8%,8%,8%
,,,,,,콧물이 쉼 없이 흘러내림,4,"심함, 콧물이 멈추지 않고 계속 흘러내려 휴지를 달고 살아야 하며, 코를 풀어도 금방 다시 참.",30%,6%,6%,6%,6%,6%
,,,,,,콧물이 계속 나와 감당 불가,5,"매우 심함, 콧물이 수도꼭지처럼 쏟아져 휴지로 감당하기 어려울 정도. 코 주변 피부가 헐거나 집중이 불가능함.",10%,2%,2%,2%,2%,2%
,,콧물 색,,1,1,맑고 투명한 콧물이 물처럼 흐름,1,투명 콧물이 나옴.,94%,14%,20%,20%,20%,20%
,,,,,,약간 끈적하고 흰 콧물이 나옴,2,"콧물이 점차 끈적해지기 시작하며, 흰색의 콧물이 나옴.",6%,6%,0%,0%,0%,0%
,,,,,,누렇고 진한 콧물이 나옴,3,콧물이 누렇고 끈적하게 변함.,0%,0%,0%,0%,0%,0%
,,코막힘,,1,3,코막힘 없음,1,"없음, 코막힘이 전혀 없음. 코로 숨쉬기가 매우 편안함.",0%,0%,0%,0%,0%,0%
,,,,,,약간 코가 막힘,2,코막힘이 약간 있으나 코로 숨쉬기 편함,30%,6%,6%,6%,6%,6%
,,,,,,코가 막혀서 답답함,3,코막힘이 있고 숨쉬기 약간 불편함,40%,8%,8%,8%,8%,8%
